"date","trend","seasonal","residual"
2010-01-01,NA,0.589814178876672,NA
2010-02-01,NA,0.820766559829063,NA
2010-03-01,NA,-0.0301720848595845,NA
2010-04-01,NA,-1.5356208028083,NA
2010-05-01,NA,-0.698120802808297,NA
2010-06-01,NA,-0.197159264346763,NA
2010-07-01,94.9958333333333,0.159457036019538,-0.755290369352863
2010-08-01,95.9166666666667,-0.173578678266179,-0.143087988400495
2010-09-01,96.8458333333334,-0.125662011599516,0.0798286782661535
2010-10-01,97.6375,0.31957608363858,0.942923916361423
2010-11-01,98.2791666666667,0.572254655067151,-0.551421321733827
2010-12-01,98.8125,0.298445131257633,1.08905486874237
2011-01-01,99.4541666666667,0.589814178876672,-0.543980845543317
2011-02-01,100.145833333333,0.820766559829063,-0.466599893162396
2011-03-01,100.6375,-0.0301720848595845,0.292672084859603
2011-04-01,100.975,-1.5356208028083,1.66062080280831
2011-05-01,101.270833333333,-0.698120802808297,1.52728746947496
2011-06-01,101.4375,-0.197159264346763,-0.740340735653234
2011-07-01,101.525,0.159457036019538,2.01554296398049
2011-08-01,101.633333333333,-0.173578678266179,1.44024534493288
2011-09-01,101.733333333333,-0.125662011599516,-0.307671321733807
2011-10-01,101.779166666667,0.31957608363858,0.401257249694751
2011-11-01,101.783333333333,0.572254655067151,-0.555587988400475
2011-12-01,101.8375,0.298445131257633,-1.43594513125763
2012-01-01,101.8125,0.589814178876672,-1.30231417887667
2012-02-01,101.729166666667,0.820766559829063,-1.04993322649572
2012-03-01,101.7,-0.0301720848595845,0.630172084859595
2012-04-01,101.575,-1.5356208028083,0.760620802808305
2012-05-01,101.341666666667,-0.698120802808297,1.85645413614165
2012-06-01,101.175,-0.197159264346763,0.422159264346789
2012-07-01,101.020833333333,0.159457036019538,1.01970963064714
2012-08-01,100.825,-0.173578678266179,1.74857867826618
2012-09-01,100.683333333333,-0.125662011599516,0.542328678266188
2012-10-01,100.641666666667,0.31957608363858,-1.26124275030524
2012-11-01,100.554166666667,0.572254655067151,-2.1264213217338
2012-12-01,100.483333333333,0.298445131257633,-1.28177846459094
2013-01-01,100.433333333333,0.589814178876672,-2.42314751221001
2013-02-01,100.358333333333,0.820766559829063,-1.8790998931624
2013-03-01,100.4,-0.0301720848595845,0.730172084859575
2013-04-01,100.5125,-1.5356208028083,2.02312080280829
2013-05-01,100.754166666667,-0.698120802808297,0.143954136141616
2013-06-01,101.083333333333,-0.197159264346763,1.11382593101344
2013-07-01,101.408333333333,0.159457036019538,-1.16779036935284
2013-08-01,101.7125,-0.173578678266179,0.861078678266196
2013-09-01,101.925,-0.125662011599516,0.300662011599513
2013-10-01,102.0625,0.31957608363858,-0.98207608363856
2013-11-01,102.2,0.572254655067151,0.327745344932836
2013-12-01,102.279166666667,0.298445131257633,0.722388202075692
2014-01-01,102.425,0.589814178876672,-0.414814178876682
2014-02-01,102.470833333333,0.820766559829063,-0.69159989316239
2014-03-01,102.395833333333,-0.0301720848595845,0.534338751526278
2014-04-01,102.479166666667,-1.5356208028083,1.55645413614165
2014-05-01,102.529166666667,-0.698120802808297,0.168954136141636
2014-06-01,102.566666666667,-0.197159264346763,-0.269507402319888
2014-07-01,102.591666666667,0.159457036019538,1.0488762973138
2014-08-01,102.5875,-0.173578678266179,-2.31392132173383
2014-09-01,102.616666666667,-0.125662011599516,0.10899534493285
2014-10-01,102.683333333333,0.31957608363858,-0.102909416971897
2014-11-01,102.829166666667,0.572254655067151,-0.60142132173381
2014-12-01,102.995833333333,0.298445131257633,1.20572153540905
2015-01-01,103.145833333333,0.589814178876672,-1.73564751220999
2015-02-01,103.333333333333,0.820766559829063,-1.05409989316239
2015-03-01,103.470833333333,-0.0301720848595845,-0.340661248473751
2015-04-01,103.5375,-1.5356208028083,1.89812080280832
2015-05-01,103.579166666667,-0.698120802808297,1.21895413614163
2015-06-01,103.520833333333,-0.197159264346763,0.676325931013437
2015-07-01,103.583333333333,0.159457036019538,1.75720963064714
2015-08-01,103.7625,-0.173578678266179,-0.688921321733815
2015-09-01,103.854166666667,-0.125662011599516,-0.628504655067161
2015-10-01,103.908333333333,0.31957608363858,-0.227909416971912
2015-11-01,103.879166666667,0.572254655067151,-1.75142132173384
2015-12-01,103.854166666667,0.298445131257633,-0.952611797924305
2016-01-01,103.795833333333,0.589814178876672,0.414352487789998
2016-02-01,103.795833333333,0.820766559829063,-0.0165998931624074
2016-03-01,103.95,-0.0301720848595845,-0.119827915140405
2016-04-01,104.075,-1.5356208028083,1.96062080280831
2016-05-01,104.2375,-0.698120802808297,-0.73937919719171
2016-06-01,104.325,-0.197159264346763,0.57215926434678
2016-07-01,104.3,0.159457036019538,-1.0594570360195
2016-08-01,104.325,-0.173578678266179,0.848578678266207
2016-09-01,104.404166666667,-0.125662011599516,0.42149534493285
2016-10-01,104.55,0.31957608363858,0.530423916361428
2016-11-01,104.833333333333,0.572254655067151,-0.205587988400467
2016-12-01,105.1125,0.298445131257633,-2.61094513125761
2017-01-01,105.379166666667,0.589814178876672,-1.36898084554332
2017-02-01,105.758333333333,0.820766559829063,-1.17909989316237
2017-03-01,106.141666666667,-0.0301720848595845,-1.21149458180707
2017-04-01,106.395833333333,-1.5356208028083,2.03978746947499
2017-05-01,106.720833333333,-0.698120802808297,1.17728746947499
2017-06-01,107.279166666667,-0.197159264346763,-0.0820074023199027
2017-07-01,107.8,0.159457036019538,-0.459457036019529
2017-08-01,108.108333333333,-0.173578678266179,2.06524534493285
2017-09-01,108.4,-0.125662011599516,0.625662011599516
