"date","residuals"
1970-01-02,NA
1970-01-03,NA
1970-01-04,NA
1970-01-05,NA
1970-01-06,NA
1970-01-07,NA
1970-01-08,-0.755290369352863
1970-01-09,-0.143087988400495
1970-01-10,0.0798286782661535
1970-01-11,0.942923916361423
1970-01-12,-0.551421321733827
1970-01-13,1.08905486874237
1970-01-14,-0.543980845543317
1970-01-15,-0.466599893162396
1970-01-16,0.292672084859603
1970-01-17,1.66062080280831
1970-01-18,1.52728746947496
1970-01-19,-0.740340735653234
1970-01-20,2.01554296398049
1970-01-21,1.44024534493288
1970-01-22,-0.307671321733807
1970-01-23,0.401257249694751
1970-01-24,-0.555587988400475
1970-01-25,-1.43594513125763
1970-01-26,-1.30231417887667
1970-01-27,-1.04993322649572
1970-01-28,0.630172084859595
1970-01-29,0.760620802808305
1970-01-30,1.85645413614165
1970-01-31,0.422159264346789
1970-02-01,1.01970963064714
1970-02-02,1.74857867826618
1970-02-03,0.542328678266188
1970-02-04,-1.26124275030524
1970-02-05,-2.1264213217338
1970-02-06,-1.28177846459094
1970-02-07,-2.42314751221001
1970-02-08,-1.8790998931624
1970-02-09,0.730172084859575
1970-02-10,2.02312080280829
1970-02-11,0.143954136141616
1970-02-12,1.11382593101344
1970-02-13,-1.16779036935284
1970-02-14,0.861078678266196
1970-02-15,0.300662011599513
1970-02-16,-0.98207608363856
1970-02-17,0.327745344932836
1970-02-18,0.722388202075692
1970-02-19,-0.414814178876682
1970-02-20,-0.69159989316239
1970-02-21,0.534338751526278
1970-02-22,1.55645413614165
1970-02-23,0.168954136141636
1970-02-24,-0.269507402319888
1970-02-25,1.0488762973138
1970-02-26,-2.31392132173383
1970-02-27,0.10899534493285
1970-02-28,-0.102909416971897
1970-03-01,-0.60142132173381
1970-03-02,1.20572153540905
1970-03-03,-1.73564751220999
1970-03-04,-1.05409989316239
1970-03-05,-0.340661248473751
1970-03-06,1.89812080280832
1970-03-07,1.21895413614163
1970-03-08,0.676325931013437
1970-03-09,1.75720963064714
1970-03-10,-0.688921321733815
1970-03-11,-0.628504655067161
1970-03-12,-0.227909416971912
1970-03-13,-1.75142132173384
1970-03-14,-0.952611797924305
1970-03-15,0.414352487789998
1970-03-16,-0.0165998931624074
1970-03-17,-0.119827915140405
1970-03-18,1.96062080280831
1970-03-19,-0.73937919719171
1970-03-20,0.57215926434678
1970-03-21,-1.0594570360195
1970-03-22,0.848578678266207
1970-03-23,0.42149534493285
1970-03-24,0.530423916361428
1970-03-25,-0.205587988400467
1970-03-26,-2.61094513125761
1970-03-27,-1.36898084554332
1970-03-28,-1.17909989316237
1970-03-29,-1.21149458180707
1970-03-30,2.03978746947499
1970-03-31,1.17728746947499
1970-04-01,-0.0820074023199027
1970-04-02,-0.459457036019529
1970-04-03,2.06524534493285
1970-04-04,0.625662011599516
1970-04-05,-1.69040941697193
1970-04-06,1.6444120115995
1970-04-07,0.855721535409046
1970-04-08,-0.293980845543359
1970-04-09,-2.3415998931624
1970-04-10,0.24267208485962
1970-04-11,1.03562080280831
1970-04-12,1.97312080280832
1970-04-13,1.5054925976801
1970-04-14,-0.517790369352852
1970-04-15,1.48191201159953
1970-04-16,0.275662011599536
1970-04-17,-0.269576083638583
1970-04-18,-2.23892132173383
1970-04-19,-0.39011179792432
1970-04-20,-0.627314178876659
1970-04-21,-1.12076655982905
1970-04-22,1.20100541819292
1970-04-23,1.57728746947497
1970-04-24,1.42728746947498
1970-04-25,-0.0320074023199055
1970-04-26,-0.438623702686201
1970-04-27,0.45274534493285
1970-04-28,0.00482867826617905
1970-04-29,0.830423916361411
1970-04-30,3.19857867826617
1970-05-01,2.60988820207572
1970-05-02,6.40185248778999
1970-05-03,7.67506677350428
1970-05-04,-1.39066124847373
1970-05-05,-19.622712530525
1970-05-06,-11.9143791971917
1970-05-07,-2.70284073565323
1970-05-08,-0.934457036019552
1970-05-09,-0.351421321733824
1970-05-10,1.94649534493286
1970-05-11,3.78459058302809
1970-05-12,2.87357867826618
1970-05-13,2.0598882020757
1970-05-14,1.76018582112334
1970-05-15,-0.962433226495733
1970-05-16,1.68433875152625
1970-05-17,3.27312080280831
1970-05-18,1.24395413614164
1970-05-19,-0.886174068986548
1970-05-20,0.598876297313808
1970-05-21,-4.2014213217338
1970-05-22,-3.59933798840046
1970-05-23,-0.190409416971903
1970-05-24,0.548578678266182
1970-05-25,2.0223882020757
1970-05-26,1.61018582112335
1970-05-27,1.47923344017094
1970-05-28,-2.99899458180708
1970-05-29,0.20645413614163
1970-05-30,0.0522874694749618
1970-05-31,0.576325931013429
1970-06-01,0.123876297313814
1970-06-02,-0.593087988400484
1970-06-03,1.20066201159952
1970-06-04,-0.50707608363858
1970-06-05,0.198578678266188
1970-06-06,-1.8526117979243
1970-06-07,-0.318980845543322
1970-06-08,1.87090010683762
1970-06-09,1.02183875152625
1970-06-10,1.90645413614165
1970-06-11,2.13978746947497
1970-06-12,0.122159264346791
1970-06-13,-0.934457036019523
1970-06-14,-0.309754655067152
1970-06-15,-0.674337988400467
1970-06-16,-0.961242750305246
1970-06-17,-0.463921321733821
1970-06-18,-1.74427846459098
1970-06-19,-0.860647512210008
1970-06-20,0.033400106837604
1970-06-21,NA
1970-06-22,NA
1970-06-23,NA
1970-06-24,NA
1970-06-25,NA
1970-06-26,NA
