"date","residuals"
1970-01-02,NA
1970-01-03,NA
1970-01-04,NA
1970-01-05,NA
1970-01-06,NA
1970-01-07,NA
1970-01-08,0.241626602564097
1970-01-09,3.28269803113552
1970-01-10,-1.07950434981684
1970-01-11,-1.11849244505494
1970-01-12,-0.995575778388258
1970-01-13,-0.476230540293031
1970-01-14,-2.34795673076921
1970-01-15,0.420793269230785
1970-01-16,2.98498740842493
1970-01-17,5.15582074175825
1970-01-18,1.39364125457875
1970-01-19,0.271525869963384
1970-01-20,-0.575040064102538
1970-01-21,-1.49646863553114
1970-01-22,-0.483671016483513
1970-01-23,-1.13932577838825
1970-01-24,0.0252575549450427
1970-01-25,1.24876945970698
1970-01-26,-2.07295673076922
1970-01-27,-1.32504006410255
1970-01-28,1.39748740842492
1970-01-29,1.35998740842493
1970-01-30,1.53114125457877
1970-01-31,-0.357640796703279
1970-02-01,0.391626602564102
1970-02-02,-0.425635302197819
1970-02-03,0.487162316849805
1970-02-04,-0.86849244505494
1970-02-05,-2.0039091117216
1970-02-06,-1.07206387362638
1970-02-07,-0.610456730769243
1970-02-08,-1.02087339743591
1970-02-09,0.609987408424914
1970-02-10,1.1849874084249
1970-02-11,1.02280792124543
1970-02-12,0.542359203296712
1970-02-13,-0.329206730769243
1970-02-14,-2.50896863553113
1970-02-15,-0.017004349816844
1970-02-16,0.35650755494504
1970-02-17,-0.0414091117216344
1970-02-18,-1.23456387362637
1970-02-19,0.706209935897434
1970-02-20,-0.175040064102589
1970-02-21,0.759987408424919
1970-02-22,2.98082074175824
1970-02-23,-0.0938587454212438
1970-02-24,1.48402586996335
1970-02-25,-0.637540064102581
1970-02-26,-2.38813530219781
1970-02-27,-1.02117101648351
1970-02-28,-1.15599244505495
1970-03-01,-1.28307577838828
1970-03-02,-0.742897206959697
1970-03-03,-0.839623397435886
1970-03-04,-0.458373397435892
1970-03-05,1.73082074175824
1970-03-06,2.8099874084249
1970-03-07,1.5519745879121
1970-03-08,0.529859203296681
1970-03-09,0.587459935897414
1970-03-10,-2.45063530219781
1970-03-11,-0.746171016483544
1970-03-12,-0.660159111721612
1970-03-13,-0.162242445054943
1970-03-14,-2.17206387362636
1970-03-15,1.06037660256411
1970-03-16,-0.541706730769249
1970-03-17,1.16832074175822
1970-03-18,3.73498740842491
1970-03-19,-0.123025412087912
1970-03-20,-1.98264079670329
1970-03-21,-0.945873397435889
1970-03-22,-0.900635302197813
1970-03-23,-0.637837683150181
1970-03-24,-0.201825778388269
1970-03-25,0.383590888278405
1970-03-26,1.32376945970695
1970-03-27,-1.61879006410255
1970-03-28,-1.51670673076922
1970-03-29,1.03915407509159
1970-03-30,1.43082074175824
1970-03-31,-0.0105254120879152
1970-04-01,0.496525869963364
1970-04-02,0.0874599358974422
1970-04-03,1.04519803113554
1970-04-04,-1.51700434981684
1970-04-05,-1.13099244505493
1970-04-06,0.266924221611745
1970-04-07,3.06126945970698
1970-04-08,-0.668790064102552
1970-04-09,-1.55004006410255
1970-04-10,1.95582074175826
1970-04-11,1.38082074175826
1970-04-12,0.285307921245419
1970-04-13,0.596525869963358
1970-04-14,-0.979206730769235
1970-04-15,-0.642301968864444
1970-04-16,0.299662316849819
1970-04-17,0.2648408882784
1970-04-18,-1.56640911172161
1970-04-19,-1.26373054029303
1970-04-20,-0.114623397435906
1970-04-21,-0.00420673076924061
1970-04-22,1.18082074175825
1970-04-23,1.11832074175825
1970-04-24,1.38114125457876
1970-04-25,0.842359203296709
1970-04-26,0.316626602564128
1970-04-27,-0.875635302197807
1970-04-28,0.895495650183165
1970-04-29,3.48567422161172
1970-04-30,6.36692422161173
1970-05-01,4.76543612637363
1970-05-02,9.78537660256411
1970-05-03,7.69579326923078
1970-05-04,-17.8483459249084
1970-05-05,-31.6275125915751
1970-05-06,-8.43135874542125
1970-05-07,-1.91180746336995
1970-05-08,3.50412660256411
1970-05-09,9.3493646978022
1970-05-10,4.83299565018315
1970-05-11,4.07317422161172
1970-05-12,-0.412242445054957
1970-05-13,-2.02206387362639
1970-05-14,1.05204326923077
1970-05-15,-0.900040064102555
1970-05-16,1.24332074175825
1970-05-17,3.68915407509158
1970-05-18,-0.339692078754567
1970-05-19,0.488192536630052
1970-05-20,0.583293269230793
1970-05-21,-1.50896863553112
1970-05-22,-0.0878376831501697
1970-05-23,-0.464325778388272
1970-05-24,1.42942422161173
1970-05-25,-0.917897206959694
1970-05-26,-3.81879006410256
1970-05-27,-0.037540064102572
1970-05-28,2.2016540750916
1970-05-29,5.64748740842491
1970-05-30,1.52280792124542
1970-05-31,-1.07430746336995
1970-06-01,-1.23337339743591
1970-06-02,0.682698031135544
1970-06-03,-0.83783768315017
1970-06-04,-1.62682577838827
1970-06-05,-1.0289091117216
1970-06-06,-0.613730540293034
1970-06-07,0.314543269230782
1970-06-08,0.129126602564114
1970-06-09,1.72248740842493
1970-06-10,1.28082074175823
1970-06-11,0.456141254578768
1970-06-12,0.221525869963401
1970-06-13,-0.854206730769221
1970-06-14,-1.00480196886447
1970-06-15,0.0704956501831617
1970-06-16,0.344007554945065
1970-06-17,-0.82057577838826
1970-06-18,0.273769459706983
1970-06-19,-0.668790064102566
1970-06-20,-0.558373397435901
1970-06-21,NA
1970-06-22,NA
1970-06-23,NA
1970-06-24,NA
1970-06-25,NA
1970-06-26,NA
