observation_date,Consumer_Price_Index,Interest_Rates,Unemployment_Rate
2020-12-01,109.564500,1.290000,3.3
2021-01-01,110.948300,1.190000,3.6
2021-02-01,111.518100,1.310000,3.8
2021-03-01,112.657700,1.520000,3.9
2021-04-01,113.553100,1.550000,3.8
2021-05-01,113.878700,1.820000,3.7
2021-06-01,113.960100,1.780000,3.5
2021-07-01,114.448500,1.610000,3.3
2021-08-01,114.774100,1.600000,3.1
2021-09-01,115.588100,1.870000,3.0
2021-10-01,116.890500,2.630000,3.0
2021-11-01,118.030100,3.120000,2.9
2021-12-01,119.088300,3.330000,2.9
2022-01-01,121.367500,4.000000,2.9
2022-02-01,121.041900,3.950000,2.8
2022-03-01,125.030500,4.830000,2.8
2022-04-01,127.553900,5.960000,2.8
2022-05-01,129.751700,6.640000,2.8
2022-06-01,131.705300,7.140000,2.8
2022-07-01,132.356500,6.370000,2.9
2022-08-01,133.414700,5.800000,3.0
2022-09-01,135.531100,6.280000,3.0
2022-10-01,137.973100,7.820000,3.0
2022-11-01,138.949900,7.240000,2.9
2022-12-01,139.112700,6.610000,2.8
