"y","sa","t","s","i"
5.1,5.1,5.08097822497313,0,0.0190217750268706
4.9,4.9,4.93804355005374,0,-0.0380435500537413
4.9,4.9,4.875,0,0.0250000000000004
4.8,4.8,4.80597822497313,0,-0.00597822497312883
4.7,4.7,4.70597822497313,0,-0.00597822497312883
4.6,4.6,4.58695644994626,0,0.0130435500537418
4.4,4.4,4.40597822497313,0,-0.00597822497312883
4.2,4.2,4.2,0,0
4,4,3.98804355005374,0,0.0119564499462586
3.8,3.8,3.82608710010748,0,-0.0260871001074827
3.8,3.8,3.78804355005374,0,0.011956449946259
3.8,3.8,3.79402177502687,0,0.00597822497312972
3.8,3.8,3.81902177502687,0,-0.0190217750268706
3.9,3.9,3.88097822497313,0,0.0190217750268711
3.9,3.9,3.90597822497313,0,-0.00597822497312928
3.9,3.9,3.9,0,0
3.9,3.9,3.9,0,0
3.9,3.9,3.90597822497313,0,-0.00597822497312928
3.9,3.9,3.89293467491939,0,0.00706532508061297
3.8,3.8,3.78695644994626,0,0.0130435500537418
3.6,3.6,3.61902177502687,0,-0.0190217750268711
3.5,3.5,3.49402177502687,0,0.00597822497312883
3.4,3.4,3.4,0,0
3.3,3.3,3.29402177502687,0,0.00597822497312883
3.2,3.2,3.21902177502687,0,-0.0190217750268706
3.2,3.2,3.175,0,0.0249999999999999
3.1,3.1,3.125,0,-0.0249999999999999
3.1,3.1,3.075,0,0.0249999999999999
3,3,3.025,0,-0.0250000000000004
3,3,2.975,0,0.0249999999999999
2.9,2.9,2.925,0,-0.0249999999999999
2.9,2.9,2.86902177502687,0,0.0309782249731296
2.8,2.8,2.82608710010748,0,-0.0260871001074836
2.9,2.9,2.90706532508061,0,-0.00706532508061253
3.1,3.1,3.075,0,0.0249999999999999
3.2,3.2,3.23097822497313,0,-0.0309782249731292
3.4,3.4,3.36793467491939,0,0.0320653250806129
3.4,3.4,3.41793467491939,0,-0.0179346749193878
3.4,3.4,3.38695644994626,0,0.0130435500537418
3.3,3.3,3.3,0,0
3.2,3.2,3.20706532508061,0,-0.00706532508061253
3.2,3.2,3.19510887513435,0,0.00489112486564558
3.3,3.3,3.32608710010748,0,-0.0260871001074836
3.6,3.6,3.58097822497313,0,0.0190217750268706
3.8,3.8,3.80489112486565,0,-0.00489112486564558
3.9,3.9,3.87989112486564,0,0.0201088751343552
3.8,3.8,3.81793467491939,0,-0.0179346749193874
3.7,3.7,3.68695644994626,0,0.0130435500537418
3.5,3.5,3.50597822497313,0,-0.00597822497312883
3.3,3.3,3.29402177502687,0,0.00597822497312928
3.1,3.1,3.10706532508061,0,-0.00706532508061253
3,3,3.01304355005374,0,-0.0130435500537418
3,3,2.975,0,0.0249999999999999
2.9,2.9,2.91902177502687,0,-0.0190217750268711
2.9,2.9,2.9,0,4.44089209850063e-16
2.9,2.9,2.88097822497313,0,0.0190217750268711
2.8,2.8,2.81902177502687,0,-0.0190217750268711
2.8,2.8,2.79402177502687,0,0.00597822497312883
2.8,2.8,2.8,0,0
2.8,2.8,2.79402177502687,0,0.00597822497312883
2.8,2.8,2.81304355005374,0,-0.0130435500537418
2.9,2.9,2.9,0,4.44089209850063e-16
3,3,2.98695644994626,0,0.0130435500537418
3,3,3.01195644994626,0,-0.0119564499462586
3,3,2.98695644994626,0,0.0130435500537418
2.9,2.9,2.90491421913841,0,-0.00491421913841128
2.8,2.8,2.80162467066825,0,-0.00162467066825478
